Categorie,2024,2023,Note
Vastgoedbeleggingen,174222,0,Real estate investments
Financiële vaste activa,267607,672756,Financial fixed assets
Vorderingen,138091,35948,Receivables
Effecten,6379,39098,Securities
Liquide middelen,14653,298,Cash and equivalents
Totaal activa,600952,748100,Total assets
Geplaatst kapitaal,18151,18151,Share capital
Overige reserves,569901,726008,Other reserves
Eigen vermogen,588052,744159,Total equity
Kortlopende schulden,12900,3941,Current liabilities
Totaal passiva,600952,748100,Total equity and liabilities
